id,x,y,z,xi,yi,zi,value,cost,blockvalue,rock_tonnes,ore_tonnes
1,-15.0,-15.0,-15.0,0,0,0,0.0,0.0,0.0,0.0,0.0
2,-15.0,-15.0,15.0,0,0,1,0.0,0.0,0.0,0.0,0.0
3,-15.0,-15.0,45.0,0,0,2,0.0,0.0,0.0,0.0,0.0
4,-15.0,-15.0,75.0,0,0,3,0.0,0.0,0.0,0.0,0.0
5,-15.0,-15.0,105.0,0,0,4,0.0,0.0,0.0,0.0,0.0
6,-15.0,-15.0,135.0,0,0,5,0.0,0.0,0.0,0.0,0.0
7,-15.0,-15.0,165.0,0,0,6,0.0,0.0,0.0,0.0,0.0
8,-15.0,-15.0,195.0,0,0,7,0.0,0.0,0.0,0.0,0.0
9,-15.0,-15.0,225.0,0,0,8,0.0,0.0,0.0,0.0,0.0
10,-15.0,-15.0,255.0,0,0,9,0.0,0.0,0.0,0.0,0.0
11,-15.0,-15.0,285.0,0,0,10,0.0,0.0,0.0,0.0,0.0
12,-15.0,-15.0,315.0,0,0,11,0.0,0.0,0.0,0.0,0.0
13,-15.0,-15.0,345.0,0,0,12,0.0,0.0,0.0,0.0,0.0
14,-15.0,-15.0,375.0,0,0,13,0.0,0.0,0.0,0.0,0.0
15,-15.0,-15.0,405.0,0,0,14,0.0,0.0,0.0,0.0,0.0
16,-15.0,15.0,-15.0,0,1,0,0.0,0.0,0.0,0.0,0.0
17,-15.0,15.0,15.0,0,1,1,0.0,0.0,0.0,0.0,0.0
18,-15.0,15.0,45.0,0,1,2,0.0,0.0,0.0,0.0,0.0
19,-15.0,15.0,75.0,0,1,3,0.0,0.0,0.0,0.0,0.0
20,-15.0,15.0,105.0,0,1,4,0.0,0.0,0.0,0.0,0.0
21,-15.0,15.0,135.0,0,1,5,0.0,0.0,0.0,0.0,0.0
22,-15.0,15.0,165.0,0,1,6,0.0,0.0,0.0,0.0,0.0
23,-15.0,15.0,195.0,0,1,7,0.0,0.0,0.0,0.0,0.0
24,-15.0,15.0,225.0,0,1,8,0.0,0.0,0.0,0.0,0.0
25,-15.0,15.0,255.0,0,1,9,0.0,0.0,0.0,0.0,0.0
26,-15.0,15.0,285.0,0,1,10,0.0,0.0,0.0,0.0,0.0
27,-15.0,15.0,315.0,0,1,11,0.0,0.0,0.0,0.0,0.0
28,-15.0,15.0,345.0,0,1,12,0.0,0.0,0.0,0.0,0.0
29,-15.0,15.0,375.0,0,1,13,0.0,0.0,0.0,0.0,0.0
30,-15.0,15.0,405.0,0,1,14,0.0,0.0,0.0,0.0,0.0
